Rank,Title,Artist,ReleaseDate,Genre,YoutubeViewCount,Length,BPM
1,Livin' on a Prayer,Bon Jovi,1986,Rock 1980s,1.2B,04:08,123.1
2,Pour Some Sugar on Me,Def Leppard,1988,Rock 1980s,141M,04:26,85
3,Hungry Like the Wolf,Duran Duran,1983,Dance 1980s,36M,03:26,129.6
4,Billie Jean,Michael Jackson,1983,Dance 1980s,1.6B,04:54,117
5,When Doves Cry,Prince,1984,Dance 1980s,111M,03:48,126.5
6,I Can't Go for That (No Can Do),Daryl Hall & John Oates,1982,Rock 1980s,106M,03:42,110.7
7,Sweet Child O' Mine,Guns N' Roses,1988,Rock 1980s,1.6B,05:55,125
8,Like a Virgin,Madonna,1984,Dance 1980s,125M,03:11,119.4
9,Walk This Way,Run-DMC,1986,R&B 1980s,130M,05:11,105.6
10,You Shook Me All Night Long,AC/DC,1980,Rock 1980s,347M,03:31,128.2
11,Don't Stop Believin',Journey,1988,Rock 1980s,314M,04:10,120.9
12,How Will I Know,Whitney Houston,1985,Dance 1980s,152M,04:28,118.6
13,With or Without You,U2,1987,Slow,168M,04:56,110
14,Walk Like an Egyptian,Bangles,1986,Dance 1980s,157M,03:24,103.2
15,Jump,Van Halen,1984,Rock 1980s,241M,04:02,129.6
16,Need You Tonight,INXS,1987,Rock 1980s,56M,03:02,108.7
17,Here I Go Again,Whitesnake,1987,Rock 1980s,132M,04:33,90.1
18,Come on Eileen,Dexy's Midnight Runners,1983,Rock 1980s,23M,04:13,108.8
19,Time After Time,Cyndi Lauper,1984,Slow,538M,03:59,130.6
20,Jessie's Girl,Rick Springfield,1982,Rock 1980s,66M,03:11,131.7
21,Beat It,Michael Jackson,1983,Dance 1980s,1.1B,04:19,138.6
22,Just Like Heaven,The Cure,1987,Rock 1980s,129M,03:31,151.7
23,Girls Just Want to Have Fun,Cyndi Lauper,1984,Dance 1980s,1.4B,03:52,120.4
24,Take on Me,a-ha,1985,Dance 1980s,108M,03:49,84
25,Our Lips Are Sealed,Go-Go's,1981,Dance 1980s,36M,02:46,131.3
26,Welcome to the Jungle,Guns N' Roses,1988,Rock 1980s,610M,04:32,124
27,Too Shy,Kajagoogoo,1983,Dance 1980s,27M,03:40,109.8
28,Wake Me Up Before You Go-Go,Wham!,1984,Dance 1980s,495M,03:51,163
29,Burning Down the House,Talking Heads,1983,Rock 1980s,21M,04:01,103.2
30,Love Is a Battlefield,Pat Benatar,1983,Rock 1980s,113M,04:08,90.6
31,Under Pressure,Queen & David Bowie,1981,Rock 1980s,243M,04:03,113.3
32,Sister Christian,Night Ranger,1984,Slow,36M,05:00,88.6
33,Tainted Love,Soft Cell,1986,Dance 1980s,58M,02:38,144.8
34,Every Rose Has It's Thorn,Poison,1988,Slow,79M,04:19,140.1
35,In the Air Tonight,Phil Collins,1981,Slow,294M,05:30,95.2
36,867-5309 - Jenny,Tommy Tutone,1981,Dance 1980s,9.8M,03:44,138
37,Janie's Got a Gun,Aerosmith,1990,Slow,73M,05:22,116.3
38,Pride (In the Name of Love),U2,1984,Slow,112M,03:46,106.4
39,I Melt With You,Modern English,1984,Rock 1980s,55M,03:49,155.7
40,Love Shack,The B-52's,1989,Rock 1980s,81M,05:22,133.6
41,Dr. Feelgood,Motley Crue,1989,Rock 1980s,34M,04:53,111
42,London Calling,The Clash,1979,Rock 1980s,60M,03:18,134.3
43,The Look of Love,ABC,1982,Rock 1970s,25M,03:29,120.8
44,Cruel Summer,Bananarama,1984,Dance 1980s,62M,03:26,108.7
45,Nasty,Janet Jackson,1986,Dance 1980s,3.6M,04:02,103.7
46,Every Breath You Take,The Police,1983,Dance 1980s,1.3B,04:13,117.4
47,We're Not Gonna Take It,Twisted Sister,1984,Slow,187M,03:39,150
48,Born in the U.S.A.,Bruce Springsteen,1987,Rock 1980s,89M,04:37,123.6
49,Fight for Your Right,Beastie Boys,1984,Rock 1980s,16M,03:27,133.6
50,Sweet Dreams (Are Made of This),Eurythmics,1987,R&B 1980s,971M,04:50,126
51,Round And Round,Ratt,1984,Rock 1980s,56M,04:22,126.6
52,You Spin Me 'Round [Extended Version],Dead or Alive,1983,Dance 1980s,290M,08:00,128.8
53,White Wedding,Billy Idol,1987,R&B 1980s,69M,04:10,147.3
54,Push It,Salt 'N' Pepa,1985,Rock 1980s,188M,04:35,128.1
55,I Ran,A Flock of Seagulls,1982,Slow,19M,03:46,145.9
56,Total Eclipse of the Heart,Bonnie Tyler,1983,Dance 1980s,1.1B,06:58,132.2
57,Mickey,Toni Basil,1982,Dance 1980s,19M,03:27,148.8
58,Do You Really Want to Hurt Me?,Culture Club,1982,Slow,140M,04:23,100.5
59,Jack And Diane,John Mellencamp,1987,R&B 1980s,32M,04:13,103.9
60,Bust a Move,Young MC,1984,Rock 1980s,34M,04:24,117.5
61,Mr. Roboto,Styx,1983,Dance 1980s,37M,04:46,143
62,Take My Breath Away,Berlin,1981,Dance 1980s,455M,04:13,96.2
63,Whip It,Devo,1983,Slow,22M,02:39,157.9
