Rank,Title,Artist,ReleaseDate,Genre,YoutubeViewCount ,Duration,BPM
1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,01/17/2015,"Funk, Pop",5.3B,04:31,115
2,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,07/16/2011,"Dance-Pop, Electro House",2.4B,06:16,130
3,Shape Of You,Ed Sheeran,01/28/2017,Pop,6.3B,04:24,96
4,Closer,The Chainsmokers Featuring Halsey,09/03/2016,"EDM, Pop",3.1B,04:22,95
5,Girls Like You,Maroon 5 Featuring Cardi B,09/29/2018,"Pop, Hip-Hop",3.6B,04:31,125
6,We Found Love,Rihanna Featuring Calvin Harris,11/12/2011,"Dance-Pop, Electro House",1.1B,04:36,128
7,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,04/13/2019,"Country Rap, Hip-Hop",1.3B,02:38,136
8,Somebody That I Used To Know,Gotye Featuring Kimbra,04/28/2012,Indie Pop,2.3B,04:04,129
9,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,05/27/2017,"Reggaeton, Latin Pop",8.5B,04:42,89
10,Rolling In The Deep,Adele,05/21/2011,"Soul, Pop",2.5B,03:54,105
11,Sunflower,Post Malone & Swae Lee,01/19/2019,"Hip-Hop, Trap",2.4B,02:42,90
12,Without Me,Halsey,01/12/2019,Pop,935M,03:57,100
13,Call Me Maybe,Carly Rae Jepsen,06/23/2012,Pop,1.6B,03:20,120
14,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,06/22/2013,"Pop, R&B",912M,04:32,120
15,Perfect,Ed Sheeran,12/23/2017,Pop,3.8B,04:40,79
16,Sicko Mode,Travis Scott,12/08/2018,"Hip-Hop, Trap",297M,05:15,78
17,All About That Bass,Meghan Trainor,09/20/2014,Pop,2.6B,03:10,134
18,Royals,Lorde,10/12/2013,Indie Pop,962M,03:21,85
19,God's Plan,Drake,02/03/2018,"Hip-Hop, Rap",1.5B,05:57,77
20,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,09/10/2011,Pop,817M,04:39,128
21,Happy,Pharrell Williams,03/08/2014,"R&B, Soul",1.3B,04:01,160
